2022-04-10 11:38:09,869: 'h'
2022-04-10 11:38:09,959: 'e'
2022-04-10 11:38:10,015: 'y'
2022-04-10 11:38:10,094: Key.space
2022-04-10 11:38:10,161: 'g'
2022-04-10 11:38:10,240: 'u'
2022-04-10 11:38:10,385: 'y'
2022-04-10 11:38:10,453: 's'
2022-04-10 11:38:10,543: Key.space
2022-04-10 11:38:10,644: 'm'
2022-04-10 11:38:10,734: 'y'
2022-04-10 11:38:10,814: Key.space
2022-04-10 11:38:10,869: 'n'
2022-04-10 11:38:10,959: 'a'
2022-04-10 11:38:11,049: 'm'
2022-04-10 11:38:11,139: 'e'
2022-04-10 11:38:11,195: Key.space
2022-04-10 11:38:11,252: 'i'
2022-04-10 11:38:11,319: 's'
2022-04-10 11:38:11,432: Key.space
2022-04-10 11:38:11,511: 's'
2022-04-10 11:38:11,578: 'i'
2022-04-10 11:38:11,645: 'd'
2022-04-10 11:38:12,153: Key.backspace
2022-04-10 11:38:12,655: Key.backspace
2022-04-10 11:38:12,687: Key.backspace
2022-04-10 11:38:12,734: Key.backspace
2022-04-10 11:38:12,765: Key.backspace
2022-04-10 11:38:12,797: Key.backspace
2022-04-10 11:38:12,829: Key.backspace
2022-04-10 11:38:12,861: Key.backspace
2022-04-10 11:38:12,893: Key.backspace
2022-04-10 11:38:12,925: Key.backspace
2022-04-10 11:38:12,957: Key.backspace
2022-04-10 11:38:12,989: Key.backspace
2022-04-10 11:38:13,021: Key.backspace
2022-04-10 11:38:13,053: Key.backspace
2022-04-10 11:38:13,085: Key.backspace
2022-04-10 11:38:13,117: Key.backspace
2022-04-10 11:38:13,149: Key.backspace
2022-04-10 11:38:13,197: Key.backspace
2022-04-10 11:38:13,229: Key.backspace
2022-04-10 11:38:13,261: Key.backspace
2022-04-10 11:38:13,293: Key.backspace
2022-04-10 11:38:13,325: Key.backspace
2022-04-10 11:38:13,357: Key.backspace
2022-04-10 11:38:13,389: Key.backspace
2022-04-10 11:38:13,421: Key.backspace
2022-04-10 11:38:13,453: Key.backspace
2022-04-10 11:38:13,485: Key.backspace
2022-04-10 11:38:13,517: Key.backspace
2022-04-10 11:38:13,549: Key.backspace
2022-04-10 11:38:13,581: Key.backspace
2022-04-10 11:38:13,613: Key.backspace
2022-04-10 11:38:13,645: Key.backspace
2022-04-10 11:38:13,677: Key.backspace
